dataset,run_id,test_accuracy,num_test,num_misclassified,misclassified_rate,Random_APFD,Random_PFD@10,Random_PFD@20,DeepGini_APFD,DeepGini_PFD@10,DeepGini_PFD@20,Entropy_APFD,Entropy_PFD@10,Entropy_PFD@20,VanillaSM_APFD,VanillaSM_PFD@10,VanillaSM_PFD@20,PCS_APFD,PCS_PFD@10,PCS_PFD@20,Filo-Priori_APFD,Filo-Priori_PFD@10,Filo-Priori_PFD@20
cora,0,0.708,1000,292,0.292,0.5047311643835617,0.10102739726027396,0.20308219178082193,0.6725787671232877,0.22945205479452055,0.4212328767123288,0.6727157534246575,0.2328767123287671,0.4143835616438356,0.6720034246575342,0.22945205479452055,0.4246575342465753,0.6724760273972602,0.22945205479452055,0.4246575342465753,0.6773664383561644,0.23972602739726026,0.4041095890410959
cora,1,0.668,1000,332,0.332,0.5020159638554216,0.09909638554216868,0.1963855421686747,0.6379337349397589,0.17771084337349397,0.3463855421686747,0.6390602409638554,0.17771084337349397,0.3493975903614458,0.6368042168674698,0.18072289156626506,0.34036144578313254,0.6378493975903614,0.17771084337349397,0.3433734939759036,0.6509789156626505,0.20180722891566266,0.3614457831325301
cora,2,0.733,1000,267,0.267,0.5039205992509362,0.10674157303370788,0.20636704119850185,0.6863464419475656,0.21722846441947566,0.37453183520599254,0.6864101123595505,0.23220973782771537,0.3782771535580524,0.6860580524344568,0.21348314606741572,0.3857677902621723,0.6864325842696628,0.2209737827715356,0.37453183520599254,0.6850955056179775,0.250936329588015,0.42696629213483145
cora,3,0.67,1000,330,0.33,0.4980045454545454,0.1,0.2006060606060606,0.6689787878787878,0.2,0.3696969696969697,0.6691848484848484,0.20303030303030303,0.36363636363636365,0.6684303030303029,0.19393939393939394,0.37272727272727274,0.6687969696969697,0.19696969696969696,0.3696969696969697,0.6515666666666666,0.20303030303030303,0.37272727272727274
cora,4,0.68,1000,320,0.32,0.5016034375,0.09875,0.196875,0.651028125,0.2,0.365625,0.652884375,0.196875,0.375,0.6488906249999999,0.2,0.35625,0.6509937499999999,0.19375,0.359375,0.660290625,0.21875,0.3875
citeseer,0,0.577,1000,423,0.423,0.5027068557919622,0.10141843971631206,0.20803782505910165,0.615336879432624,0.16548463356973994,0.30260047281323876,0.6160011820330968,0.16312056737588654,0.30969267139479906,0.6138451536643026,0.16312056737588654,0.2978723404255319,0.6150933806146572,0.16312056737588654,0.30023640661938533,0.604982269503546,0.1702127659574468,0.3144208037825059
citeseer,1,0.564,1000,436,0.436,0.49523669724770636,0.10229357798165137,0.20206422018348627,0.600756880733945,0.16055045871559634,0.2981651376146789,0.600348623853211,0.15137614678899083,0.3073394495412844,0.6005366972477064,0.1536697247706422,0.30275229357798167,0.6006146788990825,0.16055045871559634,0.2981651376146789,0.5947041284403669,0.1559633027522936,0.3073394495412844
citeseer,2,0.589,1000,411,0.411,0.503409489051095,0.09854014598540145,0.19878345498783456,0.5928041362530413,0.16058394160583941,0.30656934306569344,0.5923759124087591,0.16058394160583941,0.31143552311435524,0.5931374695863747,0.1678832116788321,0.30170316301703165,0.5931058394160583,0.16058394160583941,0.30656934306569344,0.60011800486618,0.17518248175182483,0.30900243309002434
citeseer,3,0.489,1000,511,0.511,0.4997140900195694,0.09726027397260273,0.1980430528375734,0.589404109589041,0.1487279843444227,0.2896281800391389,0.5892827788649706,0.15264187866927592,0.29354207436399216,0.5895332681017612,0.15459882583170254,0.2857142857142857,0.5892299412915851,0.1506849315068493,0.2876712328767123,0.5862769080234833,0.15655577299412915,0.29158512720156554
citeseer,4,0.56,1000,440,0.44,0.4957181818181818,0.09886363636363636,0.19295454545454546,0.6116431818181818,0.15454545454545454,0.3159090909090909,0.6126409090909091,0.16363636363636364,0.3159090909090909,0.6105113636363636,0.15227272727272728,0.31363636363636366,0.6112863636363636,0.15681818181818183,0.31363636363636366,0.6038068181818181,0.15454545454545454,0.3090909090909091
pubmed,0,0.665,1000,335,0.335,0.5043337313432836,0.10507462686567164,0.208955223880597,0.6125388059701492,0.18208955223880596,0.3164179104477612,0.6123089552238805,0.1761194029850746,0.3164179104477612,0.6110611940298507,0.18208955223880596,0.3164179104477612,0.6124850746268656,0.1791044776119403,0.3164179104477612,0.6008044776119402,0.1701492537313433,0.32238805970149254
pubmed,1,0.599,1000,401,0.401,0.49921172069825437,0.09775561097256857,0.2054862842892768,0.6187743142144637,0.14962593516209477,0.2817955112219451,0.6198167082294264,0.14713216957605985,0.2817955112219451,0.6168541147132169,0.14214463840399003,0.286783042394015,0.6188541147132169,0.14713216957605985,0.28428927680798005,0.5925099750623442,0.14463840399002495,0.27680798004987534
pubmed,2,0.692,1000,308,0.308,0.4938133116883117,0.09155844155844155,0.19155844155844154,0.6494480519480519,0.19480519480519481,0.34415584415584416,0.6505941558441558,0.19155844155844157,0.3474025974025974,0.6472954545454546,0.19155844155844157,0.34415584415584416,0.6493798701298701,0.19480519480519481,0.34415584415584416,0.6029188311688312,0.18831168831168832,0.3051948051948052
pubmed,3,0.708,1000,292,0.292,0.4988616438356165,0.09931506849315068,0.20205479452054798,0.6230171232876711,0.1643835616438356,0.3356164383561644,0.6231438356164383,0.1643835616438356,0.339041095890411,0.6233013698630137,0.1643835616438356,0.3321917808219178,0.6229143835616437,0.1643835616438356,0.3356164383561644,0.6023835616438356,0.1643835616438356,0.3219178082191781
pubmed,4,0.744,1000,256,0.256,0.49877304687499996,0.103125,0.205859375,0.6308242187499999,0.2265625,0.40625,0.6304921875,0.2265625,0.40625,0.6305,0.2265625,0.40234375,0.63097265625,0.23046875,0.40625,0.6319609374999999,0.23046875,0.3984375
