method_name,build_id,apfd
Filo-Priori (w/o GATv2),0,0.8055555555555556
Filo-Priori (w/o GATv2),1,0.47222222222222227
Filo-Priori (w/o GATv2),2,0.3157894736842105
Filo-Priori (w/o GATv2),3,0.5625
Filo-Priori (w/o GATv2),4,0.525
Filo-Priori (w/o GATv2),5,0.4166666666666667
Filo-Priori (w/o GATv2),6,0.5260416666666666
Filo-Priori (w/o GATv2),7,0.1796875
Filo-Priori (w/o GATv2),8,0.304054054054054
Filo-Priori (w/o GATv2),9,0.5
Filo-Priori (w/o GATv2),10,0.35
Filo-Priori (w/o GATv2),11,0.5125
Filo-Priori (w/o GATv2),12,0.34090909090909094
Filo-Priori (w/o GATv2),13,0.47368421052631576
Filo-Priori (w/o GATv2),14,0.3461538461538462
Filo-Priori (w/o GATv2),15,0.44230769230769235
Filo-Priori (w/o GATv2),16,0.46875
Filo-Priori (w/o GATv2),17,0.46875
Filo-Priori (w/o GATv2),18,0.6293103448275862
Filo-Priori (w/o GATv2),19,0.07500000000000004
Filo-Priori (w/o GATv2),20,0.27989130434782616
Filo-Priori (w/o GATv2),21,0.375
Filo-Priori (w/o GATv2),22,0.7142857142857143
Filo-Priori (w/o GATv2),23,0.66
Filo-Priori (w/o GATv2),24,1.0
Filo-Priori (w/o GATv2),25,0.8611111111111112
Filo-Priori (w/o GATv2),26,0.7180232558139534
Filo-Priori (w/o GATv2),27,0.4583333333333333
Filo-Priori (w/o GATv2),28,0.6964285714285715
Filo-Priori (w/o GATv2),29,0.8333333333333334
Filo-Priori (w/o GATv2),30,0.32625000000000004
Filo-Priori (w/o GATv2),31,0.35000000000000003
Filo-Priori (w/o GATv2),32,0.4545454545454546
Filo-Priori (w/o GATv2),33,1.0
Filo-Priori (w/o GATv2),34,0.135
Filo-Priori (w/o GATv2),35,0.3
Filo-Priori (w/o GATv2),36,0.37500000000000006
Filo-Priori (w/o GATv2),37,0.6000000000000001
Filo-Priori (w/o GATv2),38,0.5303030303030303
Filo-Priori (w/o GATv2),39,0.7074468085106383
Filo-Priori (w/o GATv2),40,1.0
Filo-Priori (w/o GATv2),41,0.6538461538461539
Filo-Priori (w/o GATv2),42,0.8333333333333333
Filo-Priori (w/o GATv2),43,0.8166666666666667
Filo-Priori (w/o GATv2),44,0.36607142857142855
Filo-Priori (w/o GATv2),45,0.2833333333333334
Filo-Priori (w/o GATv2),46,0.8125
Filo-Priori (w/o GATv2),47,0.34375
Filo-Priori (w/o GATv2),48,0.475
Filo-Priori (w/o GATv2),49,0.40909090909090906
Filo-Priori (w/o GATv2),50,0.39889705882352944
Filo-Priori (w/o GATv2),51,0.2239583333333333
Filo-Priori (w/o GATv2),52,0.32765151515151514
Filo-Priori (w/o GATv2),53,0.47727272727272735
Filo-Priori (w/o GATv2),54,0.38450292397660824
Filo-Priori (w/o GATv2),55,0.5148809523809523
Filo-Priori (w/o GATv2),56,0.6666666666666666
Filo-Priori (w/o GATv2),57,0.5666666666666668
Filo-Priori (w/o GATv2),58,0.34375
Filo-Priori (w/o GATv2),59,0.625
Filo-Priori (w/o GATv2),60,0.30681818181818177
Filo-Priori (w/o GATv2),61,0.4625
Filo-Priori (w/o GATv2),62,0.49999999999999994
Filo-Priori (w/o GATv2),63,0.6875
Filo-Priori (w/o GATv2),64,0.40625
Filo-Priori (w/o GATv2),65,0.7884615384615384
Filo-Priori (w/o GATv2),66,0.5625
Filo-Priori (w/o GATv2),67,0.41730769230769227
Filo-Priori (w/o GATv2),68,0.3482142857142857
Filo-Priori (w/o GATv2),69,0.4375
Filo-Priori (w/o GATv2),70,0.25000000000000006
Filo-Priori (w/o GATv2),71,0.6420454545454546
Filo-Priori (w/o GATv2),72,0.25
Filo-Priori (w/o GATv2),73,0.38461538461538464
Filo-Priori (w/o GATv2),74,0.4583333333333333
Filo-Priori (w/o GATv2),75,0.5833333333333334
Filo-Priori (w/o GATv2),76,0.39
Filo-Priori (w/o GATv2),77,0.45555555555555555
Filo-Priori (w/o GATv2),78,0.7231012658227849
Filo-Priori (w/o GATv2),79,0.6770833333333334
Filo-Priori (w/o GATv2),80,0.5694444444444445
Filo-Priori (w/o GATv2),81,0.5625
Filo-Priori (w/o GATv2),82,0.47794117647058826
Filo-Priori (w/o GATv2),83,0.10714285714285711
Filo-Priori (w/o GATv2),84,1.0
Filo-Priori (w/o GATv2),85,0.5476190476190476
Filo-Priori (w/o GATv2),86,0.6250000000000001
Filo-Priori (w/o GATv2),87,0.75
Filo-Priori (w/o GATv2),88,0.6749999999999999
Filo-Priori (w/o GATv2),89,0.2916666666666667
Filo-Priori (w/o GATv2),90,0.525
Filo-Priori (w/o GATv2),91,0.45
Filo-Priori (w/o GATv2),92,0.10000000000000005
Filo-Priori (w/o GATv2),93,0.1041666666666667
Filo-Priori (w/o GATv2),94,0.5588235294117647
Filo-Priori (w/o GATv2),95,0.5
Filo-Priori (w/o GATv2),96,0.45
Filo-Priori (w/o GATv2),97,0.5800000000000001
Filo-Priori (w/o GATv2),98,0.3804347826086957
Filo-Priori (w/o GATv2),99,0.36666666666666664
Filo-Priori (w/o GATv2),100,0.1666666666666667
Filo-Priori (w/o GATv2),101,0.5312499999999999
Filo-Priori (w/o GATv2),102,0.40375000000000005
Filo-Priori (w/o GATv2),103,0.6041666666666666
Filo-Priori (w/o GATv2),104,0.734375
Filo-Priori (w/o GATv2),105,0.3333333333333333
Filo-Priori (w/o GATv2),106,0.75
Filo-Priori (w/o GATv2),107,0.5714285714285714
Filo-Priori (w/o GATv2),108,1.0
Filo-Priori (w/o GATv2),109,0.625
Filo-Priori (w/o GATv2),110,0.25000000000000006
Filo-Priori (w/o GATv2),111,0.4305555555555556
Filo-Priori (w/o GATv2),112,0.6875
Filo-Priori (w/o GATv2),113,1.0
Filo-Priori (w/o GATv2),114,0.24999999999999994
Filo-Priori (w/o GATv2),115,0.655
Filo-Priori (w/o GATv2),116,0.7749999999999999
Filo-Priori (w/o GATv2),117,0.358695652173913
Filo-Priori (w/o GATv2),118,0.7142857142857143
Filo-Priori (w/o GATv2),119,0.6764705882352942
Filo-Priori (w/o GATv2),120,0.35000000000000003
Filo-Priori (w/o GATv2),121,0.2727272727272727
Filo-Priori (w/o GATv2),122,0.3854166666666667
Filo-Priori (w/o GATv2),123,0.5
Filo-Priori (w/o GATv2),124,0.4375
Filo-Priori (w/o GATv2),125,0.75
Filo-Priori (w/o GATv2),126,0.6666666666666666
Filo-Priori (w/o GATv2),127,0.5789473684210527
Filo-Priori (w/o GATv2),128,0.8636363636363636
Filo-Priori (w/o GATv2),129,1.0
Filo-Priori (w/o GATv2),130,0.2
Filo-Priori (w/o GATv2),131,1.0
Filo-Priori (w/o GATv2),132,0.39999999999999997
Filo-Priori (w/o GATv2),133,0.5
Filo-Priori (w/o GATv2),134,0.7142857142857142
Filo-Priori (w/o GATv2),135,0.49999999999999994
Filo-Priori (w/o GATv2),136,0.5
Filo-Priori (w/o GATv2),137,0.625
Filo-Priori (w/o GATv2),138,0.3333333333333333
Filo-Priori (w/o GATv2),139,0.75
Filo-Priori (w/o GATv2),140,0.21875
Filo-Priori (w/o GATv2),141,0.6250000000000001
Filo-Priori (w/o GATv2),142,1.0
Filo-Priori (w/o GATv2),143,0.25000000000000006
Filo-Priori (w/o GATv2),144,0.5795454545454546
Filo-Priori (w/o GATv2),145,0.39999999999999997
Filo-Priori (w/o GATv2),146,0.36363636363636365
Filo-Priori (w/o GATv2),147,0.75
Filo-Priori (w/o GATv2),148,0.5625
Filo-Priori (w/o GATv2),149,1.0
Filo-Priori (w/o GATv2),150,0.5
Filo-Priori (w/o GATv2),151,1.0
Filo-Priori (w/o GATv2),152,0.49999999999999994
Filo-Priori (w/o GATv2),153,0.8333333333333334
Filo-Priori (w/o GATv2),154,1.0
Filo-Priori (w/o GATv2),155,1.0
Filo-Priori (w/o GATv2),156,0.515625
Filo-Priori (w/o GATv2),157,0.4583333333333333
Filo-Priori (w/o GATv2),158,0.39534883720930236
Filo-Priori (w/o GATv2),159,0.35000000000000003
Filo-Priori (w/o GATv2),160,0.5806451612903225
Filo-Priori (w/o GATv2),161,0.4375
Filo-Priori (w/o GATv2),162,0.517156862745098
Filo-Priori (w/o GATv2),163,0.5119047619047619
Filo-Priori (w/o GATv2),164,0.5723684210526316
Filo-Priori (w/o GATv2),165,0.36029411764705876
Filo-Priori (w/o GATv2),166,1.0
Filo-Priori (w/o GATv2),167,0.5384615384615384
Filo-Priori (w/o GATv2),168,0.43303571428571436
Filo-Priori (w/o GATv2),169,0.5534351145038168
Filo-Priori (w/o GATv2),170,0.5
Filo-Priori (w/o GATv2),171,0.5492424242424242
Filo-Priori (w/o GATv2),172,0.5
Filo-Priori (w/o GATv2),173,0.6666666666666666
Filo-Priori (w/o GATv2),174,0.2291666666666667
Filo-Priori (w/o GATv2),175,0.5486111111111112
Filo-Priori (w/o GATv2),176,0.4618749999999999
Filo-Priori (w/o GATv2),177,0.6363636363636364
Filo-Priori (w/o GATv2),178,0.596938775510204
Filo-Priori (w/o GATv2),179,0.461864406779661
