method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_03_balanced_weights,QCO30.95-Q3-10-14,v8_full_test,3,27,0.125,0.0
experiment_03_balanced_weights,QMD30.27,v8_full_test,56,71,0.7767857142857143,0.0
experiment_03_balanced_weights,QPG30.82-37,v8_full_test,12,12,0.3541666666666667,0.0
experiment_03_balanced_weights,QPG30.82-57,v8_full_test,20,2,0.7374999999999999,0.0
experiment_03_balanced_weights,QPI30.34,v8_full_test,25,106,0.88,0.0
experiment_03_balanced_weights,QPI30.73-3,v8_full_test,55,61,0.5606060606060606,0.0
experiment_03_balanced_weights,QPI30.73-8,v8_full_test,7,15,0.125,0.0
experiment_03_balanced_weights,QPJ30.131-15,v8_full_test,8,4,0.78125,0.0
experiment_03_balanced_weights,QPJ30.14,v8_full_test,3,5,0.8333333333333334,0.0
experiment_03_balanced_weights,QPJ30.32,v8_full_test,62,2,0.5096774193548387,0.0
experiment_03_balanced_weights,QPO30.15,v8_full_test,24,196,0.6354166666666666,0.0
experiment_03_balanced_weights,QPR30.80-129,v8_full_test,10,2,0.050000000000000024,0.0
experiment_03_balanced_weights,QPS30.205-Q3-43-3,v8_full_test,14,67,0.48333333333333334,0.0
experiment_03_balanced_weights,QPZ30.15,v8_full_test,29,48,0.4396551724137931,0.0
experiment_03_balanced_weights,QPZ30.30-Q3-1,v8_full_test,10,664,0.625,0.0
experiment_03_balanced_weights,QZA30.Q4-19,v8_full_test,4,136,0.375,0.0
experiment_03_balanced_weights,QZK30.Q4-25,v8_full_test,1,73,1.0,0.0
experiment_03_balanced_weights,QZK30.Q4-38,v8_full_test,58,99,0.37916666666666665,0.0
experiment_03_balanced_weights,QZK30.Q4-40-21,v8_full_test,15,58,0.3,0.0
experiment_03_balanced_weights,RPE31.Q4U-47-10,v8_full_test,3,79,0.16666666666666666,0.0
experiment_03_balanced_weights,RPE31.Q4U-47-8,v8_full_test,35,49,0.5571428571428572,0.0
experiment_03_balanced_weights,RPI31.Q2-20,v8_full_test,9,63,0.8333333333333334,0.0
experiment_03_balanced_weights,RPJ31.Q4U-47-35,v8_full_test,31,14,0.008333333333333333,0.0
experiment_03_balanced_weights,RPL31.Q2-15,v8_full_test,12,67,0.7083333333333334,0.0
experiment_03_balanced_weights,RPL31.Q2-40,v8_full_test,24,120,0.4791666666666667,0.0
