method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_04b_focal_only,QCO30.95-Q3-10-14,v8_full_test,3,27,0.8125,0.0
experiment_04b_focal_only,QMD30.27,v8_full_test,56,71,0.13839285714285712,0.0
experiment_04b_focal_only,QPG30.82-37,v8_full_test,12,12,0.37499999999999994,0.0
experiment_04b_focal_only,QPG30.82-57,v8_full_test,20,2,0.14375,0.0
experiment_04b_focal_only,QPI30.34,v8_full_test,25,106,0.19999999999999996,0.0
experiment_04b_focal_only,QPI30.73-3,v8_full_test,55,61,0.509090909090909,0.0
experiment_04b_focal_only,QPI30.73-8,v8_full_test,7,15,0.875,0.0
experiment_04b_focal_only,QPJ30.131-15,v8_full_test,8,4,0.125,0.0
experiment_04b_focal_only,QPJ30.14,v8_full_test,3,5,0.16666666666666669,0.0
experiment_04b_focal_only,QPJ30.32,v8_full_test,62,2,0.44596774193548383,0.0
experiment_04b_focal_only,QPO30.15,v8_full_test,24,196,0.2604166666666667,0.0
experiment_04b_focal_only,QPR30.80-129,v8_full_test,10,2,0.8,0.0
experiment_04b_focal_only,QPS30.205-Q3-43-3,v8_full_test,14,67,0.7166666666666667,0.0
experiment_04b_focal_only,QPZ30.15,v8_full_test,29,48,0.5344827586206896,0.0
experiment_04b_focal_only,QPZ30.30-Q3-1,v8_full_test,10,664,0.8250000000000001,0.0
experiment_04b_focal_only,QZA30.Q4-19,v8_full_test,4,136,0.4375,0.0
experiment_04b_focal_only,QZK30.Q4-25,v8_full_test,1,73,1.0,0.0
experiment_04b_focal_only,QZK30.Q4-38,v8_full_test,58,99,0.45833333333333337,0.0
experiment_04b_focal_only,QZK30.Q4-40-21,v8_full_test,15,58,0.6833333333333335,0.0
experiment_04b_focal_only,RPE31.Q4U-47-10,v8_full_test,3,79,0.8333333333333334,0.0
experiment_04b_focal_only,RPE31.Q4U-47-8,v8_full_test,35,49,0.6714285714285714,0.0
experiment_04b_focal_only,RPI31.Q2-20,v8_full_test,9,63,0.9444444444444444,0.0
experiment_04b_focal_only,RPJ31.Q4U-47-35,v8_full_test,31,14,0.5249999999999999,0.0
experiment_04b_focal_only,RPL31.Q2-15,v8_full_test,12,67,0.2083333333333333,0.0
experiment_04b_focal_only,RPL31.Q2-40,v8_full_test,24,120,0.5625000000000001,0.0
experiment_04b_focal_only,RPM31.36,v8_full_test,2,126,0.25,0.0
experiment_04b_focal_only,RPR31.37,v8_full_test,46,110,0.6195652173913044,0.0
experiment_04b_focal_only,RRE31.Q3-19,v8_full_test,6,138,0.4166666666666667,0.0
experiment_04b_focal_only,RRK31.Q3-19-5,v8_full_test,5,115,0.1,0.0
experiment_04b_focal_only,RRN31.Q1-20-44,v8_full_test,8,95,0.3125,0.0
experiment_04b_focal_only,RRW31.Q3-41-6,v8_full_test,9,87,0.8500000000000001,0.0
experiment_04b_focal_only,RRXC31.Q3-18,v8_full_test,7,126,0.3571428571428571,0.0
experiment_04b_focal_only,RRXC31.Q3-45-20,v8_full_test,16,39,0.96875,0.0
experiment_04b_focal_only,S0RE32.1,v8_full_test,1,934,1.0,0.0
experiment_04b_focal_only,S1PB32.28,v8_full_test,4,26,0.5,0.0
experiment_04b_focal_only,S1RD32.55,v8_full_test,20,85,0.8999999999999999,0.0
experiment_04b_focal_only,S1RG32.53-9,v8_full_test,19,8,0.28947368421052627,0.0
experiment_04b_focal_only,S1RM32.2,v8_full_test,8,53,0.625,0.0
experiment_04b_focal_only,S1RO32.22,v8_full_test,3,2,0.8333333333333334,0.0
experiment_04b_focal_only,S1SU32.10,v8_full_test,12,44,0.17708333333333334,0.0
experiment_04b_focal_only,S2ST32.13,v8_full_test,77,201,0.4399350649350649,0.0
