method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_05_expanded_features,QCO30.95-Q3-10-14,v8_full_test,3,27,0.125,0.0
experiment_05_expanded_features,QMD30.27,v8_full_test,56,71,0.6696428571428571,0.0
experiment_05_expanded_features,QPG30.82-37,v8_full_test,12,12,0.2708333333333333,0.0
experiment_05_expanded_features,QPG30.82-57,v8_full_test,20,2,0.49374999999999997,0.0
experiment_05_expanded_features,QPI30.34,v8_full_test,25,106,0.44999999999999996,0.0
experiment_05_expanded_features,QPI30.73-3,v8_full_test,55,61,0.5787878787878787,0.0
experiment_05_expanded_features,QPI30.73-8,v8_full_test,7,15,0.5625,0.0
experiment_05_expanded_features,QPJ30.131-15,v8_full_test,8,4,0.5,0.0
experiment_05_expanded_features,QPJ30.14,v8_full_test,3,5,0.8333333333333334,0.0
experiment_05_expanded_features,QPJ30.32,v8_full_test,62,2,0.6467741935483872,0.0
experiment_05_expanded_features,QPO30.15,v8_full_test,24,196,0.2395833333333333,0.0
experiment_05_expanded_features,QPR30.80-129,v8_full_test,10,2,0.6,0.0
experiment_05_expanded_features,QPS30.205-Q3-43-3,v8_full_test,14,67,0.39999999999999997,0.0
experiment_05_expanded_features,QPZ30.15,v8_full_test,29,48,0.17241379310344832,0.0
experiment_05_expanded_features,QPZ30.30-Q3-1,v8_full_test,10,664,0.22499999999999995,0.0
experiment_05_expanded_features,QZA30.Q4-19,v8_full_test,4,136,0.375,0.0
experiment_05_expanded_features,QZK30.Q4-25,v8_full_test,1,73,1.0,0.0
experiment_05_expanded_features,QZK30.Q4-38,v8_full_test,58,99,0.6583333333333333,0.0
experiment_05_expanded_features,QZK30.Q4-40-21,v8_full_test,15,58,0.5166666666666667,0.0
experiment_05_expanded_features,RPE31.Q4U-47-10,v8_full_test,3,79,0.8333333333333334,0.0
experiment_05_expanded_features,RPE31.Q4U-47-8,v8_full_test,35,49,0.21428571428571425,0.0
experiment_05_expanded_features,RPI31.Q2-20,v8_full_test,9,63,0.6111111111111112,0.0
experiment_05_expanded_features,RPJ31.Q4U-47-35,v8_full_test,31,14,0.6416666666666666,0.0
experiment_05_expanded_features,RPL31.Q2-15,v8_full_test,12,67,0.875,0.0
experiment_05_expanded_features,RPL31.Q2-40,v8_full_test,24,120,0.4791666666666667,0.0
experiment_05_expanded_features,RPM31.36,v8_full_test,2,126,0.75,0.0
experiment_05_expanded_features,RPR31.37,v8_full_test,46,110,0.4456521739130435,0.0
experiment_05_expanded_features,RRE31.Q3-19,v8_full_test,6,138,0.7500000000000001,0.0
experiment_05_expanded_features,RRK31.Q3-19-5,v8_full_test,5,115,0.9,0.0
experiment_05_expanded_features,RRN31.Q1-20-44,v8_full_test,8,95,0.6875,0.0
experiment_05_expanded_features,RRW31.Q3-41-6,v8_full_test,9,87,0.24999999999999994,0.0
experiment_05_expanded_features,RRXC31.Q3-18,v8_full_test,7,126,0.5,0.0
experiment_05_expanded_features,RRXC31.Q3-45-20,v8_full_test,16,39,0.21875,0.0
experiment_05_expanded_features,S0RE32.1,v8_full_test,1,934,1.0,0.0
experiment_05_expanded_features,S1PB32.28,v8_full_test,4,26,0.375,0.0
experiment_05_expanded_features,S1RD32.55,v8_full_test,20,85,0.975,0.0
experiment_05_expanded_features,S1RG32.53-9,v8_full_test,19,8,0.6052631578947368,0.0
experiment_05_expanded_features,S1RM32.2,v8_full_test,8,53,0.25,0.0
experiment_05_expanded_features,S1RO32.22,v8_full_test,3,2,0.6666666666666666,0.0
experiment_05_expanded_features,S1SU32.10,v8_full_test,12,44,0.5937500000000001,0.0
experiment_05_expanded_features,S2ST32.13,v8_full_test,77,201,0.5892857142857143,0.0
experiment_05_expanded_features,S3RG32.45,v8_full_test,35,19,0.530952380952381,0.0
experiment_05_expanded_features,S3RL32.46,v8_full_test,9,147,0.2727272727272727,0.0
experiment_05_expanded_features,S3SJ32.1-15,v8_full_test,10,20,0.725,0.0
experiment_05_expanded_features,S3SQ32.16-5,v8_full_test,8,131,0.625,0.0
experiment_05_expanded_features,SRF32.46,v8_full_test,42,66,0.6071428571428571,0.0
experiment_05_expanded_features,SRF32.55,v8_full_test,10,2233,0.525,0.0
experiment_05_expanded_features,SSE32.29,v8_full_test,18,47,0.725,0.0
experiment_05_expanded_features,SSH32.161,v8_full_test,38,85,0.513157894736842,0.0
experiment_05_expanded_features,SSH32.22,v8_full_test,2,156,0.25,0.0
experiment_05_expanded_features,T1SA33.40,v8_full_test,7,110,0.6071428571428571,0.0
experiment_05_expanded_features,T1TGN33.23,v8_full_test,15,46,0.8250000000000001,0.0
experiment_05_expanded_features,T1TGN33.4,v8_full_test,7,66,0.47619047619047616,0.0
experiment_05_expanded_features,T1TO33.33-2,v8_full_test,39,10,0.7625,0.0
experiment_05_expanded_features,T1TPN33.26,v8_full_test,44,51,0.8295454545454546,0.0
experiment_05_expanded_features,T1TR33.43-19,v8_full_test,6,32,0.9166666666666666,0.0
experiment_05_expanded_features,T1TZ33.3-6,v8_full_test,35,4,0.5642857142857143,0.0
experiment_05_expanded_features,TSH33.97,v8_full_test,28,187,0.5344827586206896,0.0
experiment_05_expanded_features,TSL33.66,v8_full_test,19,209,0.5460526315789475,0.0
experiment_05_expanded_features,TTGN33.5,v8_full_test,3,256,0.8333333333333334,0.0
experiment_05_expanded_features,TTO33.21,v8_full_test,29,115,0.4051724137931035,0.0
experiment_05_expanded_features,TTZ33.18,v8_full_test,22,148,0.40909090909090906,0.0
experiment_05_expanded_features,TTZ33.34,v8_full_test,29,155,0.6982758620689655,0.0
experiment_05_expanded_features,TTZ33.36,v8_full_test,7,88,0.6785714285714285,0.0
