method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_05_expanded_features_FULL_testcsv,S2SD32.21-85-3-2-1,full_test_csv_277_builds,9,63,0.055555555555555566,0.0
experiment_05_expanded_features_FULL_testcsv,S3RO32.16,full_test_csv_277_builds,15,37,0.49999999999999994,0.0
experiment_05_expanded_features_FULL_testcsv,S3RW32.138-29-5,full_test_csv_277_builds,107,240,0.5269138755980862,0.0
experiment_05_expanded_features_FULL_testcsv,S3RYA32.16,full_test_csv_277_builds,10,40,0.36250000000000004,0.0
experiment_05_expanded_features_FULL_testcsv,S3RYA32.35,full_test_csv_277_builds,5,181,0.425,0.0
experiment_05_expanded_features_FULL_testcsv,S3RYA32.49-7,full_test_csv_277_builds,12,6,0.7916666666666667,0.0
experiment_05_expanded_features_FULL_testcsv,S3RYA32.49-8,full_test_csv_277_builds,12,7,0.6927083333333334,0.0
experiment_05_expanded_features_FULL_testcsv,S3SG32.39-90-1,full_test_csv_277_builds,31,136,0.671875,0.0
experiment_05_expanded_features_FULL_testcsv,T1RD33.116-13,full_test_csv_277_builds,37,4,0.5996621621621623,0.0
experiment_05_expanded_features_FULL_testcsv,T1RD33.116-15,full_test_csv_277_builds,11,9,0.7272727272727273,0.0
experiment_05_expanded_features_FULL_testcsv,T1RG33.135-109-1,full_test_csv_277_builds,25,6,0.20999999999999996,0.0
experiment_05_expanded_features_FULL_testcsv,T1RG33.135-56,full_test_csv_277_builds,18,12,0.6812499999999999,0.0
experiment_05_expanded_features_FULL_testcsv,T1RG33.135-89,full_test_csv_277_builds,9,2,0.5,0.0
experiment_05_expanded_features_FULL_testcsv,T1RM33.1-110-4,full_test_csv_277_builds,19,63,0.3684210526315789,0.0
experiment_05_expanded_features_FULL_testcsv,T1RM33.1-54,full_test_csv_277_builds,25,100,0.5865384615384615,0.0
experiment_05_expanded_features_FULL_testcsv,T1RM33.1-89,full_test_csv_277_builds,25,2,0.6442307692307692,0.0
experiment_05_expanded_features_FULL_testcsv,T1RM33.1-92,full_test_csv_277_builds,7,2,0.1875,0.0
experiment_05_expanded_features_FULL_testcsv,T1SJC33.51-6,full_test_csv_277_builds,8,6,0.25,0.0
experiment_05_expanded_features_FULL_testcsv,T1SQ33.15-11-77,full_test_csv_277_builds,26,5,0.7068965517241379,0.0
experiment_05_expanded_features_FULL_testcsv,T1SQ33.15-11-80,full_test_csv_277_builds,10,8,0.65,0.0
experiment_05_expanded_features_FULL_testcsv,T1SQ33.15-11-85,full_test_csv_277_builds,46,5,0.5027173913043479,0.0
experiment_05_expanded_features_FULL_testcsv,T1SSM33.1-100,full_test_csv_277_builds,2,2,0.5,0.0
experiment_05_expanded_features_FULL_testcsv,T1SSM33.1-49,full_test_csv_277_builds,7,10,0.9285714285714286,0.0
experiment_05_expanded_features_FULL_testcsv,T1SU33.1-124-4,full_test_csv_277_builds,25,8,0.78,0.0
experiment_05_expanded_features_FULL_testcsv,T1TGN33.60-23,full_test_csv_277_builds,1,4,1.0,0.0
experiment_05_expanded_features_FULL_testcsv,T1TH33.75-12-6,full_test_csv_277_builds,9,20,0.5833333333333334,0.0
experiment_05_expanded_features_FULL_testcsv,T1TH33.75-2,full_test_csv_277_builds,41,10,0.5930232558139534,0.0
experiment_05_expanded_features_FULL_testcsv,T1TH33.75-3,full_test_csv_277_builds,6,21,0.5833333333333334,0.0
experiment_05_expanded_features_FULL_testcsv,T1TR33.4-30-75,full_test_csv_277_builds,14,2,0.5714285714285715,0.0
experiment_05_expanded_features_FULL_testcsv,T1TR33.43-20-24,full_test_csv_277_builds,3,46,0.5833333333333334,0.0
experiment_05_expanded_features_FULL_testcsv,T1TR33.43-40,full_test_csv_277_builds,49,78,0.84875,0.0
experiment_05_expanded_features_FULL_testcsv,T1TZ33.3-50,full_test_csv_277_builds,15,10,0.9,0.0
experiment_05_expanded_features_FULL_testcsv,T1TZ33.3-52,full_test_csv_277_builds,22,31,0.6628787878787878,0.0
experiment_05_expanded_features_FULL_testcsv,T1TZ33.3-60,full_test_csv_277_builds,1,17,1.0,0.0
experiment_05_expanded_features_FULL_testcsv,T1TZ33.3-62-29,full_test_csv_277_builds,16,2,0.44000000000000006,0.0
experiment_05_expanded_features_FULL_testcsv,T2RK33.71,full_test_csv_277_builds,20,12,0.325,0.0
experiment_05_expanded_features_FULL_testcsv,T2SA33.9,full_test_csv_277_builds,6,67,0.7499999999999999,0.0
experiment_05_expanded_features_FULL_testcsv,T2SD33.21,full_test_csv_277_builds,5,48,0.49999999999999994,0.0
