method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_07_ranking_optimized,QCO30.95-Q3-10-14,v8_full_test,3,27,0.125,0.0
experiment_07_ranking_optimized,QMD30.27,v8_full_test,56,71,0.8125,0.0
experiment_07_ranking_optimized,QPG30.82-37,v8_full_test,12,12,0.3333333333333333,0.0
experiment_07_ranking_optimized,QPG30.82-57,v8_full_test,20,2,0.5562499999999999,0.0
experiment_07_ranking_optimized,QPI30.34,v8_full_test,25,106,0.84,0.0
experiment_07_ranking_optimized,QPI30.73-3,v8_full_test,55,61,0.6348484848484849,0.0
experiment_07_ranking_optimized,QPI30.73-8,v8_full_test,7,15,0.125,0.0
experiment_07_ranking_optimized,QPJ30.131-15,v8_full_test,8,4,0.6875,0.0
experiment_07_ranking_optimized,QPJ30.14,v8_full_test,3,5,0.8333333333333334,0.0
experiment_07_ranking_optimized,QPJ30.32,v8_full_test,62,2,0.5620967741935484,0.0
experiment_07_ranking_optimized,QPO30.15,v8_full_test,24,196,0.6041666666666666,0.0
experiment_07_ranking_optimized,QPR30.80-129,v8_full_test,10,2,0.12499999999999997,0.0
experiment_07_ranking_optimized,QPS30.205-Q3-43-3,v8_full_test,14,67,0.6833333333333335,0.0
experiment_07_ranking_optimized,QPZ30.15,v8_full_test,29,48,0.4827586206896552,0.0
experiment_07_ranking_optimized,QPZ30.30-Q3-1,v8_full_test,10,664,0.6,0.0
experiment_07_ranking_optimized,QZA30.Q4-19,v8_full_test,4,136,0.3125,0.0
experiment_07_ranking_optimized,QZK30.Q4-25,v8_full_test,1,73,1.0,0.0
experiment_07_ranking_optimized,QZK30.Q4-38,v8_full_test,58,99,0.47916666666666663,0.0
experiment_07_ranking_optimized,QZK30.Q4-40-21,v8_full_test,15,58,0.49999999999999994,0.0
experiment_07_ranking_optimized,RPE31.Q4U-47-10,v8_full_test,3,79,0.16666666666666666,0.0
experiment_07_ranking_optimized,RPE31.Q4U-47-8,v8_full_test,35,49,0.5285714285714285,0.0
experiment_07_ranking_optimized,RPI31.Q2-20,v8_full_test,9,63,0.8333333333333334,0.0
experiment_07_ranking_optimized,RPJ31.Q4U-47-35,v8_full_test,31,14,0.425,0.0
experiment_07_ranking_optimized,RPL31.Q2-15,v8_full_test,12,67,0.7083333333333334,0.0
experiment_07_ranking_optimized,RPL31.Q2-40,v8_full_test,24,120,0.4791666666666667,0.0
experiment_07_ranking_optimized,RPM31.36,v8_full_test,2,126,0.75,0.0
