build_id,total_tc,total_failures,first_failure_rank,first_failure_percentile,failures_in_top_10pct,failures_in_top_25pct,failures_in_top_50pct,pct_failures_in_top_10,pct_failures_in_top_25,pct_failures_in_top_50
S2SD32.21-85-3-2-1,18,2,10,55.55555555555556,0,0,0,0.0,0.0,0.0
S3RO32.16,30,6,8,26.666666666666668,0,0,2,0.0,0.0,33.33333333333333
S3RW32.138-29-5,836,2,212,25.358851674641148,0,0,2,0.0,0.0,100.0
S3RYA32.16,20,4,8,40.0,0,0,2,0.0,0.0,50.0
S3RYA32.35,10,4,5,50.0,0,0,1,0.0,0.0,25.0
S3RYA32.49-7,24,2,4,16.666666666666664,0,2,2,0.0,100.0,100.0
S3RYA32.49-8,24,8,1,4.166666666666666,2,6,8,25.0,75.0,100.0
S3SG32.39-90-1,64,2,36,56.25,0,0,0,0.0,0.0,0.0
T1RD33.116-13,74,8,6,8.108108108108109,2,4,4,25.0,50.0,50.0
T1RD33.116-15,22,2,14,63.63636363636363,0,0,0,0.0,0.0,0.0
T1RG33.135-109-1,50,2,18,36.0,0,0,1,0.0,0.0,50.0
T1RG33.135-56,40,4,11,27.500000000000004,0,0,3,0.0,0.0,75.0
T1RG33.135-89,22,2,3,13.636363636363635,0,1,2,0.0,50.0,100.0
T1RM33.1-110-4,38,2,26,68.42105263157895,0,0,0,0.0,0.0,0.0
T1RM33.1-54,52,2,13,25.0,0,1,1,0.0,50.0,50.0
T1RM33.1-89,52,2,27,51.92307692307693,0,0,0,0.0,0.0,0.0
T1RM33.1-92,16,2,4,25.0,0,1,2,0.0,50.0,100.0
T1SJC33.51-6,16,2,8,50.0,0,0,1,0.0,0.0,50.0
T1SQ33.15-11-77,58,2,5,8.620689655172415,1,2,2,50.0,100.0,100.0
T1SQ33.15-11-80,20,2,1,5.0,1,2,2,50.0,100.0,100.0
T1SQ33.15-11-85,92,4,20,21.73913043478261,0,1,3,0.0,25.0,75.0
T1SSM33.1-100,4,2,2,50.0,0,0,1,0.0,0.0,50.0
T1SSM33.1-49,14,2,8,57.14285714285714,0,0,0,0.0,0.0,0.0
T1SU33.1-124-4,50,2,25,50.0,0,0,1,0.0,0.0,50.0
T1TGN33.60-23,2,2,1,50.0,0,0,1,0.0,0.0,50.0
T1TH33.75-12-6,18,2,4,22.22222222222222,0,1,1,0.0,50.0,50.0
T1TH33.75-2,86,4,22,25.581395348837212,0,0,3,0.0,0.0,75.0
T1TH33.75-3,12,2,1,8.333333333333332,1,2,2,50.0,100.0,100.0
T1TR33.4-30-75,28,2,7,25.0,0,1,2,0.0,50.0,100.0
T1TR33.43-20-24,6,2,1,16.666666666666664,0,1,1,0.0,50.0,50.0
T1TR33.43-40,100,8,1,1.0,6,7,7,75.0,87.5,87.5
T1TZ33.3-50,30,2,1,3.3333333333333335,2,2,2,100.0,100.0,100.0
T1TZ33.3-52,44,6,1,2.272727272727273,2,2,3,33.33333333333333,33.33333333333333,50.0
T1TZ33.3-60,2,2,1,50.0,0,0,1,0.0,0.0,50.0
T1TZ33.3-62-29,50,4,13,26.0,0,0,2,0.0,0.0,50.0
T2RK33.71,40,4,15,37.5,0,0,2,0.0,0.0,50.0
T2SA33.9,12,2,9,75.0,0,0,0,0.0,0.0,0.0
